A(32, 51),  B(23, 14), C(69, 54),  P(4, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(5, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(6, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(7, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(8, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(9, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(10, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(11, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(12, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(13, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(14, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(15, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(16, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(17, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(18, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(19, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(20, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(21, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(22, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(23, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(24, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(25, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(26, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(27, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(28, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(29, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(30, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(31, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(32, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(33, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(34, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(35, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(36, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(37, 1) = Ponto fora do triangulo
